PC1,model
4.50494147790025,gpt_4o_may
4.357955127215103,claude3_5_sonnet
4.341286451934196,llama3_1_405b
4.25783251449271,qwen2_5_72b
4.177520864931189,llama3_1_70b
3.89606785691794,gemma2_27b
3.8148600743494754,c4ai_command_r_plus_08_2024
3.790949587427557,llama3_70b
3.6255022954476157,gemma2_9b
3.619438841761591,qwen2_72b
3.483622162567411,llama3_1_8b
3.3551083978883813,qwen1_5_110b
3.314418674648604,yi_1_5_34b
3.2557102542618424,mistral_8x22b_v0_1
3.251782394411886,internlm_2_5_20b
3.2442700025341544,llama3_8b
3.1280926225897563,gemma2_2b
3.0634924124280603,zephyr_141b_a35b_v0_1
3.026006079942386,qwen1_5_32b
3.0169108994133484,phi3_medium_4k
2.920887810452003,mistral_8x7b_v0_1
2.8764418912733594,yi_34b
2.860558787962444,qwen1_5_14b
2.8491563496862478,llama3_2_3b
2.83771609795856,wizardlm_70b_v1_0
2.8314809803614445,phi3_small_8k
2.8188012678046324,dbrx
2.7235026479391395,openchat_3_5_0106
2.721710381925252,llama2_70b
2.6869124484604088,starling_7b
2.6590741016885344,nous_hermes_2_mixtral_8x7b_dpo
2.641398732363731,gemma_1_1_7b
2.5907176955879727,deepseek_67b
2.5876859687449603,openchat_3_5
2.5728706623520794,openhermes_2_5_mistral_7b
2.544136182573261,mistral_7b_v0_2
2.535212665955314,phi3_mini_4k
2.504685920162608,qwen1_5_7b
2.4391895769939684,solar_10_7b
2.434365584137068,llama2_13b
2.3874407433001754,llama3_2_1b
2.3868879381154127,wizardlm_13b_v1_2
2.3736932338253287,zephyr_7b_beta
2.261615377641977,zephyr_7b_alpha
2.241632750570015,phi3_mini_128k
2.2093137387634214,gemma_7b
2.202354152070453,llama2_7b
2.0419025168585017,gemma_1_1_2b
1.9962171368507335,olmo_7b
1.9533918197748872,mistral_7b_v0_1
1.8853787414965066,vicuna_7b_v1_5
1.7583139150091833,qwen1_5_4b
1.7574177820022394,gemma_2b
0.2612987170301966,dolly_v2_12b
