Entity,Code,Year,all years
World,OWID_WRL,1950,2493092852
World,OWID_WRL,1951,2536927034
World,OWID_WRL,1952,2584086340
World,OWID_WRL,1953,2634106241
World,OWID_WRL,1954,2685894857
World,OWID_WRL,1955,2740213796
World,OWID_WRL,1956,2795409991
World,OWID_WRL,1957,2852618331
World,OWID_WRL,1958,2911249671
World,OWID_WRL,1959,2965950350
World,OWID_WRL,1960,3015470889
World,OWID_WRL,1961,3064869675
World,OWID_WRL,1962,3123374312
World,OWID_WRL,1963,3192807826
World,OWID_WRL,1964,3264487343
World,OWID_WRL,1965,3334533710
World,OWID_WRL,1966,3404041131
World,OWID_WRL,1967,3473412877
World,OWID_WRL,1968,3545187246
World,OWID_WRL,1969,3619491581
World,OWID_WRL,1970,3694683794
World,OWID_WRL,1971,3769847867
World,OWID_WRL,1972,3844917684
World,OWID_WRL,1973,3920805041
World,OWID_WRL,1974,3996416100
World,OWID_WRL,1975,4070735279
World,OWID_WRL,1976,4144246382
World,OWID_WRL,1977,4217863796
World,OWID_WRL,1978,4292097499
World,OWID_WRL,1979,4368539520
World,OWID_WRL,1980,4447606240
World,OWID_WRL,1981,4528777306
World,OWID_WRL,1982,4612673415
World,OWID_WRL,1983,4697327573
World,OWID_WRL,1984,4782175518
World,OWID_WRL,1985,4868943457
World,OWID_WRL,1986,4958072839
World,OWID_WRL,1987,5049746390
World,OWID_WRL,1988,5141992540
World,OWID_WRL,1989,5234431736
World,OWID_WRL,1990,5327803106
World,OWID_WRL,1991,5418735886
World,OWID_WRL,1992,5505989815
World,OWID_WRL,1993,5591544802
World,OWID_WRL,1994,5675551258
World,OWID_WRL,1995,5758878977
World,OWID_WRL,1996,5842055730
World,OWID_WRL,1997,5924787819
World,OWID_WRL,1998,6007066691
World,OWID_WRL,1999,6089006328
World,OWID_WRL,2000,6171702992
World,OWID_WRL,2001,6254936464
World,OWID_WRL,2002,6337730343
World,OWID_WRL,2003,6420361633
World,OWID_WRL,2004,6503377774
World,OWID_WRL,2005,6586970132
World,OWID_WRL,2006,6671452019
World,OWID_WRL,2007,6757308776
World,OWID_WRL,2008,6844457659
World,OWID_WRL,2009,6932766416
World,OWID_WRL,2010,7021732143
World,OWID_WRL,2011,7110923773
World,OWID_WRL,2012,7201202478
World,OWID_WRL,2013,7291793585
World,OWID_WRL,2014,7381616239
World,OWID_WRL,2015,7470491876
World,OWID_WRL,2016,7558554527
World,OWID_WRL,2017,7645617952
World,OWID_WRL,2018,7729902779
World,OWID_WRL,2019,7811293699
World,OWID_WRL,2020,7887001289
World,OWID_WRL,2021,7954448387
World,OWID_WRL,2022,8021407196
World,OWID_WRL,2023,8091734933
World,OWID_WRL,2024,8161972574
World,OWID_WRL,2025,8231613067
World,OWID_WRL,2026,8300678396
World,OWID_WRL,2027,8369094344
World,OWID_WRL,2028,8436618881
World,OWID_WRL,2029,8503285316
World,OWID_WRL,2030,8569124917
World,OWID_WRL,2031,8634119328
World,OWID_WRL,2032,8698229811
World,OWID_WRL,2033,8761449082
World,OWID_WRL,2034,8823784910
World,OWID_WRL,2035,8885210180
World,OWID_WRL,2036,8945686621
World,OWID_WRL,2037,9005152615
World,OWID_WRL,2038,9063572924
World,OWID_WRL,2039,9120928368
World,OWID_WRL,2040,9177190199
World,OWID_WRL,2041,9232281571
World,OWID_WRL,2042,9286110373
World,OWID_WRL,2043,9338661313
World,OWID_WRL,2044,9389873693
World,OWID_WRL,2045,9439639664
World,OWID_WRL,2046,9487889603
World,OWID_WRL,2047,9534545979
World,OWID_WRL,2048,9579536037
World,OWID_WRL,2049,9622824030
World,OWID_WRL,2050,9664378585
World,OWID_WRL,2051,9704192294
World,OWID_WRL,2052,9742264517
World,OWID_WRL,2053,9778614615
World,OWID_WRL,2054,9813251657
World,OWID_WRL,2055,9846237566
World,OWID_WRL,2056,9877680389
World,OWID_WRL,2057,9907637192
World,OWID_WRL,2058,9936164376
World,OWID_WRL,2059,9963337084
World,OWID_WRL,2060,9989232293
World,OWID_WRL,2061,10013916203
World,OWID_WRL,2062,10037466594
World,OWID_WRL,2063,10059950036
World,OWID_WRL,2064,10081402737
World,OWID_WRL,2065,10101849558
World,OWID_WRL,2066,10121317108
World,OWID_WRL,2067,10139808356
World,OWID_WRL,2068,10157301940
World,OWID_WRL,2069,10173782133
World,OWID_WRL,2070,10189241950
World,OWID_WRL,2071,10203681571
World,OWID_WRL,2072,10217055171
World,OWID_WRL,2073,10229327828
World,OWID_WRL,2074,10240485058
World,OWID_WRL,2075,10250496436
World,OWID_WRL,2076,10259351438
World,OWID_WRL,2077,10267045018
World,OWID_WRL,2078,10273556322
World,OWID_WRL,2079,10278887467
World,OWID_WRL,2080,10283078027
World,OWID_WRL,2081,10286161733
World,OWID_WRL,2082,10288205059
World,OWID_WRL,2083,10289247324
World,OWID_WRL,2084,10289315239
World,OWID_WRL,2085,10288456610
World,OWID_WRL,2086,10286708355
World,OWID_WRL,2087,10284111371
World,OWID_WRL,2088,10280704579
World,OWID_WRL,2089,10276518274
World,OWID_WRL,2090,10271565066
World,OWID_WRL,2091,10265861714
World,OWID_WRL,2092,10259408378
World,OWID_WRL,2093,10252184759
World,OWID_WRL,2094,10244185834
World,OWID_WRL,2095,10235403600
World,OWID_WRL,2096,10225850873
World,OWID_WRL,2097,10215549308
World,OWID_WRL,2098,10204489860
World,OWID_WRL,2099,10192689070
World,OWID_WRL,2100,10180160744
